District,Total Population,White (NH),Black (NH),Hispanic, Asian and Pacific Islander (NH),Native American (NH),Other (NH),Pres08 Total Vote,Pres08 Dem Vote,Pres08 Rep Vote
0,0,0,0,0,0,0,0,0,0,0
1,726994,489065,127507,62912,23685,2613,21212,342641,163892,175991
2,727323,451425,162873,49971,36384,2484,24186,319352,163150,153398
3,726875,281161,378471,30374,14997,2969,18903,336038,242028,91829
4,726809,422442,232784,39498,14901,2230,14954,349081,175551,171014
5,727430,531419,148300,22992,11196,1543,11980,350202,167909,178914
6,727451,593604,78117,31032,10464,1695,12539,327983,137671,186860
7,727480,519388,124975,36689,29030,1858,15540,372079,171848,197292
8,729516,391006,98823,135988,80320,1475,21904,345507,236785,105895
9,727353,659263,36335,13904,8287,1185,8379,306763,123420,179003
10,726820,483376,47657,85442,87330,1255,21760,337300,172162,162517
11,726973,364301,87862,123023,124765,1372,25650,329959,205116,122292
