GeoID2,District,Name,County,Total Population,White (NH),Black (NH),Hispanic, Asian and Pacific Islander (NH),Native American (NH),Other (NH),Pres08 Total Vote,Pres08 Dem Vote,Pres08 Rep Vote

51001302,2,Oak Hall Voting District,Accomack,1689,826,755,54,12,10,32,845,519,318
51001803,2,Melfa Voting District,Accomack,1569,764,689,79,11,3,23,804,481,312
51001804,2,Quinby Voting District,Accomack,410,363,26,16,1,2,2,205,68,135
51001601,2,Accomac Voting District,Accomack,3522,1842,989,627,13,18,33,1377,701,659
51001301,2,New Church Voting District,Accomack,1859,748,994,51,19,9,38,797,537,244
51001101,2,Chincoteague Voting District,Accomack,2941,2764,21,49,17,8,82,1866,595,1254
51001802,2,Keller Voting District,Accomack,582,350,206,9,4,11,2,301,162,135
51001202,2,Greenbackville Voting District,Accomack,1284,1154,71,26,14,1,18,584,203,377
51001805,2,Wachapreague Voting District,Accomack,539,354,167,13,0,0,5,309,134,171
51001501,2,Mappsville Voting District,Accomack,2033,744,734,492,17,0,46,758,486,266
51001801,2,Bobtown Voting District,Accomack,589,537,37,9,4,0,2,378,147,228
51001702,2,Onley Voting District,Accomack,765,566,125,53,9,4,8,433,152,277
51001205,2,Tangier Voting District,Accomack,727,713,4,2,3,0,5,308,46,258
51001502,2,Rue Voting District,Accomack,2056,474,1064,499,9,3,7,658,511,146
51001201,2,Atlantic Voting District,Accomack,1462,1155,213,50,10,5,29,614,229,375
51001203,2,Hallwood Voting District,Accomack,819,595,159,48,2,2,13,354,119,229
51001701,2,Onancock Voting District,Accomack,2565,1916,512,75,20,5,37,1418,634,766
51001402,2,Parksley Voting District,Accomack,2256,1384,509,291,29,10,33,993,449,538
51001401,2,Bloxom Voting District,Accomack,1404,992,230,133,6,1,42,526,191,327
51001204,2,Saxis Voting District,Accomack,529,478,28,17,1,0,5,208,60,146
51001901,2,Painter Voting District,Accomack,3564,1547,1720,257,10,5,25,1870,1183,672
51003602,5,Free Union Voting District,Albemarle,2064,1926,35,35,19,5,44,1127,599,512
51003304,5,East Ivy Voting District,Albemarle,3589,2534,242,165,515,4,129,1383,886,485
51003505,5,Burnley Voting District,Albemarle,2118,1575,330,104,36,8,65,1194,693,478
51003504,5,Free Bridge Voting District,Albemarle,4555,3664,452,176,170,9,84,2380,1463,890
51003101,5,Woodbrook Voting District,Albemarle,3596,2676,481,160,175,13,91,2155,1171,957
51003103,5,Branchlands Voting District,Albemarle,2221,1354,294,385,119,4,65,875,563,301
51003104,5,Agnor-Hurt Voting District,Albemarle,4134,2241,890,654,221,10,118,1874,1297,557
51003305,5,Country Green Voting District,Albemarle,2912,2395,177,106,158,9,67,1541,953,579
51003401,5,Scottsville Voting District,Albemarle,2432,2207,134,51,12,7,21,1235,588,634
51003402,5,Monticello Voting District,Albemarle,2469,2170,180,46,19,3,51,1108,539,557
51003502,5,Stony Point Voting District,Albemarle,2108,1917,98,42,20,3,28,1209,625,568
51003105,5,Dunlora Voting District,Albemarle,2697,2231,232,65,120,5,44,1629,1015,600
51003301,5,Ivy Voting District,Albemarle,4625,4225,131,84,133,1,51,3100,1886,1183
51003406,5,Stone Robinson Voting District,Albemarle,3616,3136,255,94,34,9,88,2207,959,1230
51003605,5,Yellow Mountain Voting District,Albemarle,951,895,13,26,6,0,11,553,292,260
51003106,5,Northside Voting District,Albemarle,3034,2563,135,97,151,7,81,1637,819,808
51003501,5,Keswick Voting District,Albemarle,1962,1550,299,59,10,0,44,1104,671,426
51003604,5,Brownsville Voting District,Albemarle,4642,4013,275,159,102,3,90,2563,1448,1084
51003503,5,Hollymead Voting District,Albemarle,6682,5531,319,173,501,8,150,3710,1925,1753
51003302,5,Red Hill Voting District,Albemarle,4010,3418,318,192,22,6,54,2137,1293,826
51003202,5,University Hall Voting District,Albemarle,5260,3328,356,282,1130,7,157,1550,1130,402
51003203,5,Georgetown Voting District,Albemarle,4751,2460,1330,553,226,3,179,2083,1540,518
